Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
565,0,0,1,Step,41  45,1,1,15,5,20,,no fault,45  41  47  52  38,45  41  47   7   6,1.2692,0.061003,0.0055814,,
566,0,0,1,Step,41  45,1,1,15,5,20,,no fault,45  41  47  52   7,45  41   7   6  14,2.2356,0.11351,0.010913,,
567,0,0,1,Step,41  45,1,1,15,5,20,,no fault,45  41  47   7   6,45  41   7   6  14,4.0623,0.21591,0.020881,,
568,0,0,1,Step,7  32,1,1,15,5,20,,no fault,45  47  32   7  38,45  47  38  32  52,0.98564,0.049405,0.0053956,,
569,0,0,1,Step,7  32,1,1,15,5,20,,no fault,45  47  32   7  38,45  47  38  52  32,1.7269,0.092053,0.010962,,
570,0,0,1,Step,7  32,1,1,15,5,20,,no fault,45  47  32   7  38,45  47  38  52  32,3.2798,0.18576,0.022639,,
571,0,0,1,Step,52  10,1,1,15,5,20,,no fault,45  47  52  10  38,45  47  52  38  10,0.98565,0.049405,0.0053956,,
572,0,0,1,Step,52  10,1,1,15,5,20,,no fault,45  47  52  10  38,45  47  52  38  31,1.7269,0.092054,0.010962,,
573,0,0,1,Step,52  10,1,1,15,5,20,,no fault,45  47  52  10  38,45  47  52  38  31,3.2799,0.18576,0.02264,,
574,0,0,1,Step,25  41,1,1,15,5,20,,no fault,45  47  41  25  38,45  47  41  38  52,0.98565,0.049405,0.0053956,,
575,0,0,1,Step,25  41,1,1,15,5,20,,no fault,45  47  41  25  38,45  47  41  38  52,1.7269,0.092054,0.010962,,
576,0,0,1,Step,25  41,1,1,15,5,20,,no fault,45  47  41  25  38,45  47  41  38  52,3.2799,0.18576,0.02264,,
577,0,0,1,Step,47  41,1,1,15,5,20,,no fault,47  41  45  52  38,45  47  41   7   6,1.1347,0.055775,0.005275,,
578,0,0,1,Step,47  41,1,1,15,5,20,,no fault,47  41  45  52   7,47  41   7  45   6,2.0067,0.10528,0.0097566,,
579,0,0,1,Step,47  41,1,1,15,5,20,,no fault,47  41  45   7   6,47  41   7   6  14,3.5833,0.19726,0.017901,,
580,0,0,1,Step,42   2,1,1,15,5,20,,no fault,45  47  42   2  38,45  47  42  38  52,0.98565,0.049405,0.0053956,,
581,0,0,1,Step,42   2,1,1,15,5,20,,no fault,45  47  42   2  38,45  47  42  38  52,1.727,0.092054,0.010962,,
582,0,0,1,Step,42   2,1,1,15,5,20,,no fault,45  47  42   2  38,45  47  42  38  52,3.2799,0.18576,0.02264,,
583,0,0,1,Step,38  22,1,1,15,5,20,,no fault,45  47  38  22  52,45  47  38  52  22,0.98563,0.049405,0.0053956,,
584,0,0,1,Step,38  22,1,1,15,5,20,,no fault,45  47  38  22  52,45  47  38  52  31,1.7269,0.092051,0.010962,,
585,0,0,1,Step,38  22,1,1,15,5,20,,no fault,45  47  38  22  52,45  47  38  52  31,3.2797,0.18575,0.022639,,
