Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
1015,0,0,1,Step,45  41   7,1,1,15,10,25,,no fault,45  47  41   7  52,45  47  38  52  41,2.5101,0.090992,0.0063436,,
1016,0,0,1,Step,45  41   7,1,1,15,10,25,,no fault,45  47  41   7  52,45  47  38  52  41,4.7442,0.1775,0.012462,,
1017,0,0,1,Step,45  41   7,1,1,15,10,25,,no fault,45  47  41   7  52,47  45  38  41  52,9.1945,0.35287,0.025759,,
1018,0,0,1,Step,31  17  52,1,1,15,10,25,,no fault,45  52  47  31  17,45  47  52  38  31,1.8705,0.074361,0.0064157,,
1019,0,0,1,Step,31  17  52,1,1,15,10,25,,no fault,45  52  47  31  17,45  47  52  38  31,3.6376,0.14312,0.012991,,
1020,0,0,1,Step,31  17  52,1,1,15,10,25,,no fault,45  52  47  31  17,45  47  38  52  36,7.1635,0.28311,0.026648,,
1021,0,0,1,Step,25  41  52,1,1,15,10,25,,no fault,45  52  47  41  25,45  47  52  38  41,1.8705,0.074362,0.0064157,,
1022,0,0,1,Step,25  41  52,1,1,15,10,25,,no fault,45  52  47  41  25,45  47  52  38  41,3.6376,0.14313,0.012991,,
1023,0,0,1,Step,25  41  52,1,1,15,10,25,,no fault,45  52  47  41  25,45  47  38  52  41,7.1636,0.28312,0.026649,,
1024,0,0,1,Step,36  41  52,1,1,15,10,25,,no fault,52  41  36  45  47,52   7  45   6  14,1.9113,0.073038,0.0053287,,
1025,0,0,1,Step,36  41  52,1,1,15,10,25,,no fault,52  41  36  45  47,7   6  14   2  11,3.7042,0.14486,0.011729,,
1026,0,0,1,Step,36  41  52,1,1,15,10,25,,no fault,52  41  36   7  47,7   6   2  14  11,7.2479,0.28698,0.028581,,
1027,0,0,1,Step,36  22  38,1,1,15,10,25,,no fault,45  38  47  36  22,45  47  38  52  31,1.8722,0.07436,0.0064156,,
1028,0,0,1,Step,36  22  38,1,1,15,10,25,,no fault,45  38  47  36  22,45  47  52  38  31,3.6252,0.14312,0.012991,,
1029,0,0,1,Step,36  22  38,1,1,15,10,25,,no fault,45  38  47  36  22,45  47  52  31  38,7.1053,0.28309,0.026647,,
1030,0,0,1,Step,2  17   6,1,1,15,10,25,,no fault,45  47  38  17   2,45  47  38  31  52,2.414,0.13942,0.014244,,
1031,0,0,1,Step,2  17   6,1,1,15,10,25,,no fault,45  47  38  31  17,45  47  38  31  52,4.9384,0.30235,0.031882,,
1032,0,0,1,Step,2  17   6,1,1,15,10,25,,no fault,47  45  38  31   2,45  47  38  31  25,12.3593,0.79473,0.089985,,
1033,0,0,1,Step,17   2  47,1,1,15,10,25,,no fault,45  47   2  17  38,45  47  38  52  31,2.4932,0.10136,0.009975,,
1034,0,0,1,Step,17   2  47,1,1,15,10,25,,no fault,45  47  38   2  17,45  47  38  52  31,4.9082,0.20599,0.020707,,
1035,0,0,1,Step,17   2  47,1,1,15,10,25,,no fault,45  47  38   2  17,45  47  38  31  52,10.1701,0.44395,0.044773,,
1036,0,0,1,Step,11  25  41,1,1,15,10,25,,no fault,45  47  41  25  38,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1037,0,0,1,Step,11  25  41,1,1,15,10,25,,no fault,45  47  41  25  38,45  47  38  52  31,3.5127,0.206,0.020707,,
1038,0,0,1,Step,11  25  41,1,1,15,10,25,,no fault,45  47  38  25  41,45  47  38  31  52,7.3795,0.44397,0.044774,,
1039,0,0,1,Step,38  36  17,1,1,15,10,25,,no fault,45  38  47  36  17,45  47  38  52  31,1.8722,0.07436,0.0064156,,
1040,0,0,1,Step,38  36  17,1,1,15,10,25,,no fault,45  38  47  36  17,45  47  52  38  31,3.6253,0.14312,0.012991,,
1041,0,0,1,Step,38  36  17,1,1,15,10,25,,no fault,45  38  47  36  17,45  47  52  31  38,7.1053,0.2831,0.026647,,
1042,0,0,1,Step,25  19  52,1,1,15,10,25,,no fault,45  47  52  25  19,45  47  38  52  31,1.8288,0.10136,0.0099751,,
1043,0,0,1,Step,25  19  52,1,1,15,10,25,,no fault,45  47  52  25  19,45  47  38  52  31,3.5613,0.206,0.020707,,
1044,0,0,1,Step,25  19  52,1,1,15,10,25,,no fault,45  47  52  38  25,45  47  38  31  52,7.3794,0.44396,0.044773,,
1045,0,0,1,Step,37  14  29,1,1,15,10,25,,no fault,45  47  37  29  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1046,0,0,1,Step,37  14  29,1,1,15,10,25,,no fault,45  47  37  38  29,45  47  38  52  31,3.5126,0.20599,0.020707,,
1047,0,0,1,Step,37  14  29,1,1,15,10,25,,no fault,45  47  38  37  29,45  47  38  31  52,7.3793,0.44395,0.044772,,
1048,0,0,1,Step,42  10  14,1,1,15,10,25,,no fault,45  47  42  38  14,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1049,0,0,1,Step,42  10  14,1,1,15,10,25,,no fault,45  47  42  38  10,45  47  38  52  31,3.5127,0.206,0.020707,,
1050,0,0,1,Step,42  10  14,1,1,15,10,25,,no fault,45  47  38  42  10,45  47  38  31  52,7.3795,0.44397,0.044774,,
1051,0,0,1,Step,11  47  19,1,1,15,10,25,,no fault,45  47  19  38  11,45  47  38  52  31,2.4932,0.10136,0.009975,,
1052,0,0,1,Step,11  47  19,1,1,15,10,25,,no fault,45  47  19  38  11,45  47  38  52  31,4.9082,0.20599,0.020707,,
1053,0,0,1,Step,11  47  19,1,1,15,10,25,,no fault,45  47  38  19  11,45  47  38  31  52,10.1699,0.44395,0.044772,,
1054,0,0,1,Step,42  19  31,1,1,15,10,25,,no fault,45  47  31  42  19,45  47  38  52  42,1.764,0.074361,0.0064157,,
1055,0,0,1,Step,42  19  31,1,1,15,10,25,,no fault,45  47  31  42  19,45  47  38  52  42,3.4247,0.14312,0.012991,,
1056,0,0,1,Step,42  19  31,1,1,15,10,25,,no fault,45  47  31  42  19,45  47  38  52  42,6.7267,0.28311,0.026648,,
1057,0,0,1,Step,31  22  38,1,1,15,10,25,,no fault,45  38  47  31  22,45  47  38  52  31,1.8722,0.07436,0.0064156,,
1058,0,0,1,Step,31  22  38,1,1,15,10,25,,no fault,45  38  47  31  22,45  47  52  38  31,3.6252,0.14312,0.012991,,
1059,0,0,1,Step,31  22  38,1,1,15,10,25,,no fault,45  38  47  31  22,45  47  52  38  36,7.1053,0.28309,0.026647,,
1060,0,0,1,Step,47  41   7,1,1,15,10,25,,no fault,47  45  41   7  52,45  47  38  52  41,2.3896,0.08726,0.0064157,,
1061,0,0,1,Step,47  41   7,1,1,15,10,25,,no fault,47  45  41   7  52,45  47  38  52  41,4.5625,0.17198,0.012991,,
1062,0,0,1,Step,47  41   7,1,1,15,10,25,,no fault,47  45  41   7  52,45  47  38  41  52,8.879,0.34168,0.026648,,
1063,0,0,1,Step,41  10  19,1,1,15,10,25,,no fault,45  47  41  19  38,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1064,0,0,1,Step,41  10  19,1,1,15,10,25,,no fault,45  47  41  19  38,45  47  38  52  31,3.5127,0.206,0.020707,,
1065,0,0,1,Step,41  10  19,1,1,15,10,25,,no fault,45  47  38  41  19,45  47  38  31  52,7.3794,0.44396,0.044774,,
1066,0,0,1,Step,36  14  32,1,1,15,10,25,,no fault,45  47  36  32  14,45  47  38  52  31,1.6879,0.07436,0.0064156,,
1067,0,0,1,Step,36  14  32,1,1,15,10,25,,no fault,45  47  36  32  14,45  47  38  52  31,3.2434,0.14312,0.012991,,
1068,0,0,1,Step,36  14  32,1,1,15,10,25,,no fault,45  47  36  32  14,45  47  38  52  31,6.3529,0.2831,0.026647,,
1069,0,0,1,Step,6  47  14,1,1,15,10,25,,no fault,45  47  38  14   6,45  47  38  52  31,2.4932,0.10136,0.0099751,,
1070,0,0,1,Step,6  47  14,1,1,15,10,25,,no fault,45  47  38  14   6,45  47  38  52  31,4.9082,0.206,0.020707,,
1071,0,0,1,Step,6  47  14,1,1,15,10,25,,no fault,45  47  38  14   6,45  47  38  31  52,10.1701,0.44396,0.044773,,
1072,0,0,1,Step,52   6  23,1,1,15,10,25,,no fault,45  47  52  23  38,45  47  38  52  31,1.8288,0.10136,0.0099751,,
1073,0,0,1,Step,52   6  23,1,1,15,10,25,,no fault,45  47  52  38  23,45  47  38  52  31,3.5613,0.206,0.020707,,
1074,0,0,1,Step,52   6  23,1,1,15,10,25,,no fault,45  47  52  38  23,45  47  38  31  52,7.3794,0.44396,0.044774,,
1075,0,0,1,Step,41   6  45,1,1,15,10,25,,no fault,45  47  41   6  52,45  47  38  52  41,2.5101,0.090992,0.0063436,,
1076,0,0,1,Step,41   6  45,1,1,15,10,25,,no fault,45  47  41   6  52,45  47  38  52  41,4.7442,0.1775,0.012462,,
1077,0,0,1,Step,41   6  45,1,1,15,10,25,,no fault,45  47  41   6  52,47  45  38  41  52,9.1945,0.35287,0.025759,,
1078,0,0,1,Step,47  23  11,1,1,15,10,25,,no fault,45  47  23  38  11,45  47  38  52  31,2.4932,0.10136,0.009975,,
1079,0,0,1,Step,47  23  11,1,1,15,10,25,,no fault,45  47  38  23  11,45  47  38  52  31,4.9082,0.20599,0.020707,,
1080,0,0,1,Step,47  23  11,1,1,15,10,25,,no fault,45  47  38  23  11,45  47  38  31  52,10.1699,0.44395,0.044772,,
1081,0,0,1,Step,45  31  10,1,1,15,10,25,,no fault,45  47  31  10  52,45  47  38  52  31,2.5101,0.090991,0.0063436,,
1082,0,0,1,Step,45  31  10,1,1,15,10,25,,no fault,45  47  31  10  52,45  47  38  52  31,4.7442,0.1775,0.012462,,
1083,0,0,1,Step,45  31  10,1,1,15,10,25,,no fault,45  47  31  10  52,47  45  38  52  36,9.1943,0.35286,0.025758,,
1084,0,0,1,Step,22  29   6,1,1,15,10,25,,no fault,45  47  38  22  29,45  47  38  31  52,2.414,0.13942,0.014244,,
1085,0,0,1,Step,22  29   6,1,1,15,10,25,,no fault,45  47  38  31  22,45  47  38  31  52,4.9385,0.30235,0.031882,,
1086,0,0,1,Step,22  29   6,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79471,0.089983,,
1087,0,0,1,Step,23   6  14,1,1,15,10,25,,no fault,45  47  38  23  14,45  47  38  31  52,2.414,0.13942,0.014244,,
1088,0,0,1,Step,23   6  14,1,1,15,10,25,,no fault,45  47  38  31  23,45  47  38  31  52,4.9384,0.30235,0.031882,,
1089,0,0,1,Step,23   6  14,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79471,0.089984,,
1090,0,0,1,Step,25  19  45,1,1,15,10,25,,no fault,45  47  25  19  38,45  47  38  52  31,2.6636,0.10727,0.0099465,,
1091,0,0,1,Step,25  19  45,1,1,15,10,25,,no fault,45  47  25  19  38,45  47  38  52  31,5.1649,0.21735,0.020481,,
1092,0,0,1,Step,25  19  45,1,1,15,10,25,,no fault,45  47  38  25  19,45  47  38  31  52,10.5513,0.46361,0.043948,,
1093,0,0,1,Step,7  14  22,1,1,15,10,25,,no fault,45  47  38  22  14,45  47  38  31  52,2.414,0.13942,0.014244,,
1094,0,0,1,Step,7  14  22,1,1,15,10,25,,no fault,45  47  38  31  22,45  47  38  31  52,4.9384,0.30235,0.031882,,
1095,0,0,1,Step,7  14  22,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79472,0.089984,,
1096,0,0,1,Step,31   6  14,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  52  31,1.8267,0.10136,0.009975,,
1097,0,0,1,Step,31   6  14,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  52  31,3.5127,0.20599,0.020707,,
1098,0,0,1,Step,31   6  14,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  31  52,7.3794,0.44396,0.044773,,
1099,0,0,1,Step,36  10   2,1,1,15,10,25,,no fault,45  47  36   2  38,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1100,0,0,1,Step,36  10   2,1,1,15,10,25,,no fault,45  47  36  38   2,45  47  38  52  31,3.5127,0.206,0.020707,,
1101,0,0,1,Step,36  10   2,1,1,15,10,25,,no fault,45  47  38  36   2,45  47  38  31  52,7.3794,0.44396,0.044773,,
1102,0,0,1,Step,38  17  31,1,1,15,10,25,,no fault,45  38  47  31  17,45  47  38  52  31,1.8722,0.07436,0.0064156,,
1103,0,0,1,Step,38  17  31,1,1,15,10,25,,no fault,45  38  47  31  17,45  47  52  38  31,3.6253,0.14312,0.012991,,
1104,0,0,1,Step,38  17  31,1,1,15,10,25,,no fault,45  38  47  31  17,45  47  52  38  36,7.1053,0.2831,0.026647,,
1105,0,0,1,Step,22  41  32,1,1,15,10,25,,no fault,45  47  41  32  22,45  47  38  52  41,1.7287,0.074361,0.0064157,,
1106,0,0,1,Step,22  41  32,1,1,15,10,25,,no fault,45  47  41  32  22,45  47  38  52  41,3.3641,0.14312,0.012991,,
1107,0,0,1,Step,22  41  32,1,1,15,10,25,,no fault,45  47  41  32  22,45  47  38  41  52,6.6266,0.28311,0.026648,,
1108,0,0,1,Step,17  23  25,1,1,15,10,25,,no fault,45  47  38  23  17,45  47  38  31  52,2.414,0.13942,0.014244,,
1109,0,0,1,Step,17  23  25,1,1,15,10,25,,no fault,45  47  38  31  25,45  47  38  31  52,4.9385,0.30235,0.031882,,
1110,0,0,1,Step,17  23  25,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79471,0.089983,,
1111,0,0,1,Step,41  36  22,1,1,15,10,25,,no fault,45  47  41  36  22,45  47  38  52  41,1.7287,0.074361,0.0064157,,
1112,0,0,1,Step,41  36  22,1,1,15,10,25,,no fault,45  47  41  36  22,45  47  38  52  41,3.3641,0.14312,0.012991,,
1113,0,0,1,Step,41  36  22,1,1,15,10,25,,no fault,45  47  41  36  22,45  47  38  41  52,6.6266,0.28311,0.026648,,
1114,0,0,1,Step,47  45  31,1,1,15,10,25,,no fault,45  47  31   7  52,45  47   7   6  14,2.4252,0.090633,0.0069986,,
1115,0,0,1,Step,47  45  31,1,1,15,10,25,,no fault,45  47  31   7   6,45   7  47   6  14,4.5113,0.17327,0.013446,,
1116,0,0,1,Step,47  45  31,1,1,15,10,25,,no fault,45  47  31   7   6,7   6   2  14  11,8.5091,0.33183,0.028582,,
1117,0,0,1,Step,17  25  14,1,1,15,10,25,,no fault,45  47  38  17  25,45  47  38  31  52,2.414,0.13942,0.014244,,
1118,0,0,1,Step,17  25  14,1,1,15,10,25,,no fault,45  47  38  31  25,45  47  38  31  52,4.9384,0.30235,0.031882,,
1119,0,0,1,Step,17  25  14,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3593,0.79472,0.089985,,
1120,0,0,1,Step,10  23  14,1,1,15,10,25,,no fault,45  47  38  23  14,45  47  38  31  52,2.414,0.13942,0.014244,,
1121,0,0,1,Step,10  23  14,1,1,15,10,25,,no fault,45  47  38  31  23,45  47  38  31  52,4.9385,0.30235,0.031882,,
1122,0,0,1,Step,10  23  14,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79471,0.089984,,
1123,0,0,1,Step,45  52  11,1,1,15,10,25,,no fault,45  52  47  11  38,45  47  52  38  31,2.5101,0.090992,0.0063436,,
1124,0,0,1,Step,45  52  11,1,1,15,10,25,,no fault,45  52  47  11  38,45  47  52  38  31,4.7442,0.1775,0.012462,,
1125,0,0,1,Step,45  52  11,1,1,15,10,25,,no fault,45  52  47  11  38,47  45  38  52  31,9.1944,0.35287,0.025759,,
1126,0,0,1,Step,32  14  22,1,1,15,10,25,,no fault,45  47  32  22  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1127,0,0,1,Step,32  14  22,1,1,15,10,25,,no fault,45  47  32  38  22,45  47  38  52  31,3.5126,0.20599,0.020707,,
1128,0,0,1,Step,32  14  22,1,1,15,10,25,,no fault,45  47  38  32  22,45  47  38  31  52,7.3792,0.44395,0.044772,,
1129,0,0,1,Step,19   7  17,1,1,15,10,25,,no fault,45  47  38  19  17,45  47  38  31  52,2.414,0.13942,0.014244,,
1130,0,0,1,Step,19   7  17,1,1,15,10,25,,no fault,45  47  38  31  19,45  47  38  31  52,4.9385,0.30235,0.031882,,
1131,0,0,1,Step,19   7  17,1,1,15,10,25,,no fault,47  45  38  31  25,45  47  38  31  25,12.3594,0.79471,0.089984,,
1132,0,0,1,Step,41  14   2,1,1,15,10,25,,no fault,45  47  41   2  38,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1133,0,0,1,Step,41  14   2,1,1,15,10,25,,no fault,45  47  41  38   2,45  47  38  52  31,3.5127,0.206,0.020707,,
1134,0,0,1,Step,41  14   2,1,1,15,10,25,,no fault,45  47  38  41   2,45  47  38  31  52,7.3795,0.44397,0.044774,,
1135,0,0,1,Step,31  25  14,1,1,15,10,25,,no fault,45  47  31  25  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1136,0,0,1,Step,31  25  14,1,1,15,10,25,,no fault,45  47  31  25  38,45  47  38  52  31,3.5126,0.20599,0.020707,,
1137,0,0,1,Step,31  25  14,1,1,15,10,25,,no fault,45  47  31  38  25,45  47  38  31  52,7.3793,0.44396,0.044773,,
1138,0,0,1,Step,32  25  14,1,1,15,10,25,,no fault,45  47  32  25  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1139,0,0,1,Step,32  25  14,1,1,15,10,25,,no fault,45  47  32  25  38,45  47  38  52  31,3.5127,0.20599,0.020707,,
1140,0,0,1,Step,32  25  14,1,1,15,10,25,,no fault,45  47  38  25  32,45  47  38  31  52,7.3794,0.44396,0.044773,,
1141,0,0,1,Step,52  45   2,1,1,15,10,25,,no fault,45  52  47   2  38,45  47  52  38  31,2.5101,0.090992,0.0063436,,
1142,0,0,1,Step,52  45   2,1,1,15,10,25,,no fault,45  52  47   2  38,45  47  52  38  31,4.7442,0.1775,0.012462,,
1143,0,0,1,Step,52  45   2,1,1,15,10,25,,no fault,45  52  47   2  38,47  45  38  52  31,9.1945,0.35287,0.025759,,
1144,0,0,1,Step,36  14  19,1,1,15,10,25,,no fault,45  47  36  19  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1145,0,0,1,Step,36  14  19,1,1,15,10,25,,no fault,45  47  36  19  38,45  47  38  52  31,3.5126,0.20599,0.020707,,
1146,0,0,1,Step,36  14  19,1,1,15,10,25,,no fault,45  47  38  36  19,45  47  38  31  52,7.3792,0.44395,0.044772,,
1147,0,0,1,Step,25  41  36,1,1,15,10,25,,no fault,45  47  41  36  25,45  47  38  52  41,1.7287,0.074361,0.0064157,,
1148,0,0,1,Step,25  41  36,1,1,15,10,25,,no fault,45  47  41  36  25,45  47  38  52  41,3.3641,0.14312,0.012991,,
1149,0,0,1,Step,25  41  36,1,1,15,10,25,,no fault,45  47  41  36  25,45  47  38  41  52,6.6266,0.28311,0.026648,,
1150,0,0,1,Step,11  37  19,1,1,15,10,25,,no fault,45  47  37  19  38,45  47  38  52  31,1.8267,0.10136,0.009975,,
1151,0,0,1,Step,11  37  19,1,1,15,10,25,,no fault,45  47  37  19  38,45  47  38  52  31,3.5126,0.20599,0.020707,,
1152,0,0,1,Step,11  37  19,1,1,15,10,25,,no fault,45  47  38  37  19,45  47  38  31  52,7.3792,0.44395,0.044772,,
1153,0,0,1,Step,25  45  32,1,1,15,10,25,,no fault,45  47  32  25  52,45  47  38  52  31,2.5101,0.090991,0.0063436,,
1154,0,0,1,Step,25  45  32,1,1,15,10,25,,no fault,45  47  32  25  52,45  47  38  52  31,4.7442,0.1775,0.012462,,
1155,0,0,1,Step,25  45  32,1,1,15,10,25,,no fault,45  47  32  25  52,47  45  38  52  31,9.1943,0.35286,0.025758,,
1156,0,0,1,Step,14  31  11,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  52  31,1.8267,0.10136,0.009975,,
1157,0,0,1,Step,14  31  11,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  52  31,3.5126,0.20599,0.020707,,
1158,0,0,1,Step,14  31  11,1,1,15,10,25,,no fault,45  47  31  38  14,45  47  38  31  52,7.3793,0.44396,0.044773,,
1159,0,0,1,Step,52  37  10,1,1,15,10,25,,no fault,45  52  47  37  10,45  47  52  38  31,1.8705,0.074361,0.0064157,,
1160,0,0,1,Step,52  37  10,1,1,15,10,25,,no fault,45  52  47  37  10,45  47  52  38  31,3.6376,0.14312,0.012991,,
1161,0,0,1,Step,52  37  10,1,1,15,10,25,,no fault,45  52  47  37  10,45  47  38  52  31,7.1635,0.28311,0.026648,,
1162,0,0,1,Step,6   2  37,1,1,15,10,25,,no fault,45  47  37   2  38,45  47  38  52  31,1.8267,0.10136,0.0099751,,
1163,0,0,1,Step,6   2  37,1,1,15,10,25,,no fault,45  47  37  38   2,45  47  38  52  31,3.5127,0.206,0.020707,,
1164,0,0,1,Step,6   2  37,1,1,15,10,25,,no fault,45  47  38  37   2,45  47  38  31  52,7.3794,0.44396,0.044773,,
