Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
975,0,0,1,Step,45  52  11,1,1,15,5,20,,no fault,45  47  52  38  31,47  45  38  52  31,5.1922,0.26555,0.025759,,
976,0,0,1,Step,32  14  22,1,1,15,5,20,,no fault,45  47  38  22  31,45  47  38  52  31,1.467,0.080401,0.009975,,
977,0,0,1,Step,32  14  22,1,1,15,5,20,,no fault,45  47  38  22  31,45  47  38  52  31,2.7577,0.1618,0.020707,,
978,0,0,1,Step,32  14  22,1,1,15,5,20,,no fault,45  47  38  31  22,45  47  38  31  52,5.6717,0.34798,0.044772,,
979,0,0,1,Step,19   7  17,1,1,15,5,20,,no fault,45  47  38  19  17,45  47  38  52  31,1.9088,0.10731,0.013822,,
980,0,0,1,Step,19   7  17,1,1,15,5,20,,no fault,45  47  38  31  19,45  47  38  31  52,3.7628,0.22644,0.029587,,
981,0,0,1,Step,19   7  17,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  25,8.6366,0.52687,0.068571,,
982,0,0,1,Step,41  14   2,1,1,15,5,20,,no fault,45  47  38  41   2,45  47  38  52  31,1.467,0.080402,0.0099751,,
983,0,0,1,Step,41  14   2,1,1,15,5,20,,no fault,45  47  38  41  31,45  47  38  52  31,2.7578,0.16181,0.020707,,
984,0,0,1,Step,41  14   2,1,1,15,5,20,,no fault,45  47  38  31  41,45  47  38  31  52,5.6721,0.348,0.044774,,
985,0,0,1,Step,31  25  14,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  52  31,1.467,0.080401,0.009975,,
986,0,0,1,Step,31  25  14,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  52  31,2.7577,0.1618,0.020707,,
987,0,0,1,Step,31  25  14,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  52,5.6719,0.34799,0.044773,,
988,0,0,1,Step,32  25  14,1,1,15,5,20,,no fault,45  47  38  25  31,45  47  38  52  31,1.467,0.080401,0.009975,,
989,0,0,1,Step,32  25  14,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  52  31,2.7577,0.1618,0.020707,,
990,0,0,1,Step,32  25  14,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  52,5.6719,0.34799,0.044773,,
991,0,0,1,Step,52  45   2,1,1,15,5,20,,no fault,45  47  52  38   2,47  45  52  38  31,1.4752,0.068264,0.0061211,,
992,0,0,1,Step,52  45   2,1,1,15,5,20,,no fault,45  47  52  38   2,47  45  52  38  31,2.6983,0.13184,0.012452,,
993,0,0,1,Step,52  45   2,1,1,15,5,20,,no fault,45  47  52  38   2,47  45  38  52  31,5.1923,0.26555,0.025759,,
994,0,0,1,Step,36  14  19,1,1,15,5,20,,no fault,45  47  38  19  36,45  47  38  52  31,1.467,0.080401,0.009975,,
995,0,0,1,Step,36  14  19,1,1,15,5,20,,no fault,45  47  38  19  31,45  47  38  52  31,2.7577,0.1618,0.020707,,
996,0,0,1,Step,36  14  19,1,1,15,5,20,,no fault,45  47  38  31  19,45  47  38  31  52,5.6717,0.34798,0.044772,,
997,0,0,1,Step,25  41  36,1,1,15,5,20,,no fault,45  47  41  36  38,45  47  38  41  52,1.2573,0.062618,0.0064157,,
998,0,0,1,Step,25  41  36,1,1,15,5,20,,no fault,45  47  41  36  38,45  47  38  41  52,2.2614,0.11995,0.012991,,
999,0,0,1,Step,25  41  36,1,1,15,5,20,,no fault,45  47  41  36  38,45  47  38  41  52,4.3156,0.24113,0.026648,,
1000,0,0,1,Step,11  37  19,1,1,15,5,20,,no fault,45  47  38  19  31,45  47  38  52  31,1.467,0.080401,0.009975,,
1001,0,0,1,Step,11  37  19,1,1,15,5,20,,no fault,45  47  38  19  31,45  47  38  52  31,2.7577,0.1618,0.020707,,
1002,0,0,1,Step,11  37  19,1,1,15,5,20,,no fault,45  47  38  31  19,45  47  38  31  52,5.6717,0.34798,0.044772,,
