Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
177,0,0,1,Step,2,1,1,15,15,30,,no fault,2  45  47  38  31,45  47   2  38  31,2.1986,0.072963,0.005275,,
178,0,0,1,Step,2,1,1,15,15,30,,no fault,2  45  47  38  31,45  47   2  38  52,4.2902,0.14496,0.0090126,,
179,0,0,1,Step,2,1,1,15,15,30,,no fault,2  45  47  38  31,45  47   2  38  31,8.4609,0.28821,0.018847,,
180,0,0,1,Step,2,1,1,15,15,30,,no fault,2  45  47  38  31,45  47  38   2  31,16.7292,0.57054,0.041345,,
181,0,0,1,Step,6,1,1,15,15,30,,no fault,6  45  47  38  31,45  47   6  38  31,2.1374,0.070705,0.005275,,
182,0,0,1,Step,6,1,1,15,15,30,,no fault,6  45  47  38  31,45  47   6  38  52,4.1637,0.14037,0.0090126,,
183,0,0,1,Step,6,1,1,15,15,30,,no fault,6  45  47  38  31,45  47   6  38  31,8.2011,0.27893,0.018847,,
184,0,0,1,Step,6,1,1,15,15,30,,no fault,6  45  47  38  31,45  47  38   6  31,16.1981,0.5518,0.041345,,
185,0,0,1,Step,7,1,1,15,15,30,,no fault,7  45  47  38  31,45  47   7  38  31,2.1177,0.070254,0.005275,,
186,0,0,1,Step,7,1,1,15,15,30,,no fault,7  45  47  38  31,45  47   7  38  52,4.1239,0.13933,0.0090126,,
187,0,0,1,Step,7,1,1,15,15,30,,no fault,7  45  47  38  31,45  47   7  38  31,8.1137,0.27637,0.018847,,
188,0,0,1,Step,7,1,1,15,15,30,,no fault,7  45  47  38  31,45  47  38   7  31,15.9756,0.54484,0.041345,,
189,0,0,1,Step,10,1,1,15,15,30,,no fault,10  45  47  38  31,45  47  10  38  31,2.1497,0.070853,0.005275,,
190,0,0,1,Step,10,1,1,15,15,30,,no fault,10  45  47  38  31,45  47  10  38  52,4.1884,0.14081,0.0090126,,
191,0,0,1,Step,10,1,1,15,15,30,,no fault,10  45  47  38  31,45  47  10  38  31,8.2578,0.28032,0.018847,,
192,0,0,1,Step,10,1,1,15,15,30,,no fault,10  45  47  38  31,45  47  38  10  31,16.3574,0.55665,0.041345,,
193,0,0,1,Step,11,1,1,15,15,30,,no fault,11  45  47  38  31,45  47  11  38  31,2.1449,0.070788,0.005275,,
194,0,0,1,Step,11,1,1,15,15,30,,no fault,11  45  47  38  31,45  47  11  38  52,4.179,0.14063,0.0090126,,
195,0,0,1,Step,11,1,1,15,15,30,,no fault,11  45  47  38  31,45  47  11  38  31,8.2365,0.27978,0.018847,,
196,0,0,1,Step,11,1,1,15,15,30,,no fault,11  45  47  38  31,45  47  38  11  31,16.2996,0.55482,0.041345,,
197,0,0,1,Step,14,1,1,15,15,30,,no fault,14  45  47  38  31,45  47  14  38  31,2.1502,0.070884,0.005275,,
198,0,0,1,Step,14,1,1,15,15,30,,no fault,14  45  47  38  31,45  47  14  38  52,4.1889,0.14081,0.0090126,,
199,0,0,1,Step,14,1,1,15,15,30,,no fault,14  45  47  38  31,45  47  14  38  31,8.2552,0.28009,0.018847,,
200,0,0,1,Step,14,1,1,15,15,30,,no fault,14  45  47  38  31,45  47  14  38  31,16.333,0.55529,0.041344,,
201,0,0,1,Step,17,1,1,15,15,30,,no fault,17  45  47  38  31,45  47  17  38  31,2.201,0.072396,0.005275,,
202,0,0,1,Step,17,1,1,15,15,30,,no fault,17  45  47  38  31,45  47  17  38  52,4.2888,0.14386,0.0090126,,
203,0,0,1,Step,17,1,1,15,15,30,,no fault,17  45  47  38  31,45  47  17  38  31,8.4543,0.28632,0.018847,,
204,0,0,1,Step,17,1,1,15,15,30,,no fault,17  45  47  38  31,45  47  17  38  31,16.7346,0.5682,0.041344,,
205,0,0,1,Step,19,1,1,15,15,30,,no fault,19  45  47  38  31,45  47  19  38  31,2.2135,0.072239,0.005275,,
206,0,0,1,Step,19,1,1,15,15,30,,no fault,19  45  47  38  31,45  47  19  38  52,4.3118,0.14376,0.0090125,,
207,0,0,1,Step,19,1,1,15,15,30,,no fault,19  45  47  38  31,45  47  19  38  31,8.511,0.28714,0.018847,,
208,0,0,1,Step,19,1,1,15,15,30,,no fault,19  45  47  38  31,45  47  19  38  31,16.9344,0.5743,0.041343,,
209,0,0,1,Step,22,1,1,15,15,30,,no fault,22  45  47  38  31,45  47  22  38  31,2.213,0.072504,0.005275,,
210,0,0,1,Step,22,1,1,15,15,30,,no fault,22  45  47  38  31,45  47  22  38  52,4.3129,0.14428,0.0090125,,
211,0,0,1,Step,22,1,1,15,15,30,,no fault,22  45  47  38  31,45  47  22  38  31,8.5172,0.28818,0.018847,,
212,0,0,1,Step,22,1,1,15,15,30,,no fault,22  45  47  38  31,45  47  22  38  31,16.959,0.57633,0.041343,,
213,0,0,1,Step,23,1,1,15,15,30,,no fault,23  45  47  38  31,45  47  23  38  31,2.204,0.072245,0.005275,,
214,0,0,1,Step,23,1,1,15,15,30,,no fault,23  45  47  38  31,45  47  23  38  52,4.2959,0.14377,0.0090125,,
215,0,0,1,Step,23,1,1,15,15,30,,no fault,23  45  47  38  31,45  47  23  38  31,8.4834,0.28713,0.018847,,
216,0,0,1,Step,23,1,1,15,15,30,,no fault,23  45  47  38  31,45  47  23  38  31,16.8869,0.57412,0.041343,,
217,0,0,1,Step,25,1,1,15,15,30,,no fault,25  45  47  38  31,45  47  25  38  31,2.1639,0.071393,0.005275,,
218,0,0,1,Step,25,1,1,15,15,30,,no fault,25  45  47  38  31,45  47  25  38  52,4.2175,0.14201,0.0090126,,
219,0,0,1,Step,25,1,1,15,15,30,,no fault,25  45  47  38  31,45  47  25  38  31,8.3106,0.28286,0.018847,,
220,0,0,1,Step,25,1,1,15,15,30,,no fault,25  45  47  38  31,45  47  38  25  31,16.4294,0.56196,0.041345,,
221,0,0,1,Step,29,1,1,15,15,30,,no fault,29  45  47  38  31,45  47  29  38  31,2.2183,0.072855,0.005275,,
222,0,0,1,Step,29,1,1,15,15,30,,no fault,29  45  47  38  31,45  47  29  38  52,4.3289,0.14505,0.0090126,,
223,0,0,1,Step,29,1,1,15,15,30,,no fault,29  45  47  38  31,45  47  29  38  31,8.5529,0.28967,0.018847,,
224,0,0,1,Step,29,1,1,15,15,30,,no fault,29  45  47  38  31,45  47  29  38  31,17.0249,0.5789,0.041344,,
225,0,0,1,Step,31,1,1,15,15,30,,no fault,31  45  47  38  36,45  47  31  38  36,2.138,0.073131,0.005275,,
226,0,0,1,Step,31,1,1,15,15,30,,no fault,31  45  47  52  38,31  45  47   7   6,4.1694,0.14503,0.0063907,,
227,0,0,1,Step,31,1,1,15,15,30,,no fault,31  45  47   7  52,31  45   7   6  14,8.1937,0.2882,0.012524,,
228,0,0,1,Step,31,1,1,15,15,30,,no fault,31  45  47   7   6,31   7   6  14  11,16.0945,0.57,0.023998,,
229,0,0,1,Step,32,1,1,15,15,30,,no fault,32  45  47  38  36,45  47  32  38  31,2.0947,0.072232,0.005275,,
230,0,0,1,Step,32,1,1,15,15,30,,no fault,32  45  47  52  38,32  45  47   7   6,4.1008,0.14365,0.0060558,,
231,0,0,1,Step,32,1,1,15,15,30,,no fault,32  45  47   7  52,32  45   7   6  14,8.0926,0.28621,0.011978,,
232,0,0,1,Step,32,1,1,15,15,30,,no fault,32  45  47   7   6,32   7   6  14  11,15.9939,0.56892,0.023414,,
233,0,0,1,Step,36,1,1,15,15,30,,no fault,36  45  47  38  37,45  47  36  38  31,2.108,0.071502,0.005275,,
234,0,0,1,Step,36,1,1,15,15,30,,no fault,36  45  47  52  38,36  45  47   7   6,4.0785,0.14147,0.0060349,,
235,0,0,1,Step,36,1,1,15,15,30,,no fault,36  45  47   7  52,36  45   7   6  14,7.9996,0.28146,0.011951,,
236,0,0,1,Step,36,1,1,15,15,30,,no fault,36  45  47   7   6,36   7   6  14  11,15.759,0.55913,0.023429,,
237,0,0,1,Step,37,1,1,15,15,30,,no fault,37  45  47  38  36,45  47  37  38  31,2.089,0.070447,0.005275,,
238,0,0,1,Step,37,1,1,15,15,30,,no fault,37  45  47  52  38,37  45  47   7   6,4.0369,0.13964,0.0059631,,
239,0,0,1,Step,37,1,1,15,15,30,,no fault,37  45  47   7  52,37  45   7   6  14,7.9186,0.27817,0.011862,,
240,0,0,1,Step,37,1,1,15,15,30,,no fault,37  45  47   7   6,37   7   6  14  11,15.6254,0.55388,0.023475,,
241,0,0,1,Step,38,1,1,15,15,30,,no fault,38  45  47  36  37,45  38  47  31  36,2.1892,0.074153,0.005275,,
242,0,0,1,Step,38,1,1,15,15,30,,no fault,38  45  47  52   7,38  45  47   7   6,4.2571,0.14681,0.0067499,,
243,0,0,1,Step,38,1,1,15,15,30,,no fault,38  45  47   7  52,38  45   7   6  14,8.3534,0.29165,0.013231,,
244,0,0,1,Step,38,1,1,15,15,30,,no fault,38  45  47   7   6,38   7   6  14  11,16.3867,0.57703,0.025375,,
245,0,0,1,Step,41,1,1,15,15,30,,no fault,41  45  47  38  36,45  47  41  38  31,2.0223,0.069043,0.005275,,
246,0,0,1,Step,41,1,1,15,15,30,,no fault,41  45  47  52  38,41  45  47   7   6,3.9511,0.13744,0.0064966,,
247,0,0,1,Step,41,1,1,15,15,30,,no fault,41  45  47   7  52,41  45   7   6  14,7.802,0.27435,0.012986,,
248,0,0,1,Step,41,1,1,15,15,30,,no fault,41  45  47   7   6,41   7   6  14  11,15.4786,0.54764,0.025945,,
249,0,0,1,Step,42,1,1,15,15,30,,no fault,42  45  47  38  36,45  47  42  38  31,2.0318,0.069013,0.005275,,
250,0,0,1,Step,42,1,1,15,15,30,,no fault,42  45  47  52  38,42  45  47   7   6,3.9487,0.13706,0.0063972,,
