Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
1,0,0,1,Step,2,1,1,15,10,25,,no fault,2  45  47  38  31,45  47   2  38  31,1.4796,0.059379,0.005275,,
2,0,0,1,Step,2,1,1,15,10,25,,no fault,2  45  47  38  31,45  47   2  38  31,2.8511,0.11755,0.0091873,,
3,0,0,1,Step,2,1,1,15,10,25,,no fault,2  45  47  38  31,45  47   2  38  31,5.6034,0.23311,0.019672,,
4,0,0,1,Step,2,1,1,15,10,25,,no fault,2  45  47  38  31,45  47  38   2  31,11.2192,0.46142,0.046553,,
5,0,0,1,Step,6,1,1,15,10,25,,no fault,6  45  47  38  31,45  47   6  38  31,1.444,0.05772,0.005275,,
6,0,0,1,Step,6,1,1,15,10,25,,no fault,6  45  47  38  31,45  47   6  38  31,2.7725,0.11411,0.0091873,,
7,0,0,1,Step,6,1,1,15,10,25,,no fault,6  45  47  38  31,45  47   6  38  31,5.4224,0.226,0.019672,,
8,0,0,1,Step,6,1,1,15,10,25,,no fault,6  45  47  38  31,45  47  38   6  31,10.813,0.44637,0.046553,,
9,0,0,1,Step,7,1,1,15,10,25,,no fault,7  45  47  38  31,45  47   7  38  31,1.4349,0.057478,0.005275,,
10,0,0,1,Step,7,1,1,15,10,25,,no fault,7  45  47  38  31,45  47   7  38  31,2.7511,0.11346,0.0091873,,
11,0,0,1,Step,7,1,1,15,10,25,,no fault,7  45  47  38  31,45  47   7  38  31,5.3752,0.22418,0.019672,,
12,0,0,1,Step,7,1,1,15,10,25,,no fault,7  45  47  38  31,45  47  38  31   7,10.7319,0.44138,0.046553,,
13,0,0,1,Step,10,1,1,15,10,25,,no fault,10  45  47  38  31,45  47  10  38  31,1.4481,0.057601,0.005275,,
14,0,0,1,Step,10,1,1,15,10,25,,no fault,10  45  47  38  31,45  47  10  38  31,2.7829,0.11407,0.0091873,,
15,0,0,1,Step,10,1,1,15,10,25,,no fault,10  45  47  38  31,45  47  10  38  31,5.4507,0.22654,0.019672,,
16,0,0,1,Step,10,1,1,15,10,25,,no fault,10  45  47  38  31,45  47  38  10  31,10.868,0.44939,0.046553,,
17,0,0,1,Step,11,1,1,15,10,25,,no fault,11  45  47  38  31,45  47  11  38  31,1.4469,0.05766,0.005275,,
18,0,0,1,Step,11,1,1,15,10,25,,no fault,11  45  47  38  31,45  47  11  38  31,2.7795,0.11411,0.0091873,,
19,0,0,1,Step,11,1,1,15,10,25,,no fault,11  45  47  38  31,45  47  11  38  31,5.4396,0.22639,0.019672,,
20,0,0,1,Step,11,1,1,15,10,25,,no fault,11  45  47  38  31,45  47  38  11  31,10.8412,0.4483,0.046553,,
21,0,0,1,Step,14,1,1,15,10,25,,no fault,14  45  47  38  31,45  47  14  38  31,1.4531,0.057805,0.005275,,
22,0,0,1,Step,14,1,1,15,10,25,,no fault,14  45  47  38  31,45  47  14  38  31,2.7896,0.11437,0.0091873,,
23,0,0,1,Step,14,1,1,15,10,25,,no fault,14  45  47  38  31,45  47  14  38  31,5.4502,0.22679,0.019672,,
24,0,0,1,Step,14,1,1,15,10,25,,no fault,14  45  47  38  31,45  47  38  14  31,10.847,0.44876,0.046553,,
