Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
265,0,0,1,Step,41  45,1,1,15,10,25,,no fault,45  41  47   7  52,45  41   7  47   6,2.1063,0.077441,0.0055814,,
266,0,0,1,Step,41  45,1,1,15,10,25,,no fault,45  41  47   7   6,45  41   7   6  14,3.9109,0.14824,0.010913,,
267,0,0,1,Step,41  45,1,1,15,10,25,,no fault,45  41  47   7   6,45   7  41   6   2,7.4263,0.28809,0.020881,,
268,0,0,1,Step,7  32,1,1,15,10,25,,no fault,45  32   7  47  38,45  47  38  52  32,1.4794,0.059637,0.0053956,,
269,0,0,1,Step,7  32,1,1,15,10,25,,no fault,32  45   7  47  38,45  47  38  52  32,2.8751,0.11668,0.010962,,
270,0,0,1,Step,7  32,1,1,15,10,25,,no fault,32  45   7  47  38,45  47  38  52  32,5.6611,0.23322,0.022639,,
271,0,0,1,Step,52  10,1,1,15,10,25,,no fault,52  45  10  47  38,45  47  52  38  10,1.5925,0.061464,0.0053956,,
272,0,0,1,Step,52  10,1,1,15,10,25,,no fault,52  45  10  47  38,45  47  52  38  31,3.0845,0.12232,0.010962,,
273,0,0,1,Step,52  10,1,1,15,10,25,,no fault,52  45  10  47  38,45  47  52  38  31,6.0678,0.2443,0.02264,,
274,0,0,1,Step,25  41,1,1,15,10,25,,no fault,45  41  25  47  38,45  47  41  38  52,1.5199,0.059638,0.0053956,,
275,0,0,1,Step,25  41,1,1,15,10,25,,no fault,41  25  45  47  38,45  47  41  38  52,2.9443,0.11755,0.010962,,
276,0,0,1,Step,25  41,1,1,15,10,25,,no fault,41  25  45  47  38,45  47  41  38  52,5.7806,0.23401,0.02264,,
277,0,0,1,Step,47  41,1,1,15,10,25,,no fault,47  41  45   7  52,45  47  41   7   6,2.009,0.074541,0.005275,,
278,0,0,1,Step,47  41,1,1,15,10,25,,no fault,47  41  45   7   6,47  41   7   6  14,3.7689,0.14471,0.0097566,,
279,0,0,1,Step,47  41,1,1,15,10,25,,no fault,47  41  45   7   6,47   7  41   6   2,7.1621,0.28111,0.017901,,
