Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
89,0,0,1,Step,2,1,1,15,5,20,,no fault,2  45  47  38  31,45  47   2  38  31,0.85229,0.041866,0.005275,,
90,0,0,1,Step,2,1,1,15,5,20,,no fault,2  45  47  38  31,45  47   2  38  52,1.5961,0.081907,0.0090126,,
91,0,0,1,Step,2,1,1,15,5,20,,no fault,2  45  47  38  31,45  47   2  38  31,3.0685,0.16033,0.018847,,
92,0,0,1,Step,2,1,1,15,5,20,,no fault,45   2  47  38  31,45  47  38   2  31,5.9727,0.31641,0.041345,,
93,0,0,1,Step,6,1,1,15,5,20,,no fault,6  45  47  38  31,45  47   6  38  31,0.84076,0.041139,0.005275,,
94,0,0,1,Step,6,1,1,15,5,20,,no fault,6  45  47  38  31,45  47   6  38  52,1.5686,0.080344,0.0090126,,
95,0,0,1,Step,6,1,1,15,5,20,,no fault,6  45  47  38  31,45  47   6  38  31,3.0052,0.15704,0.018847,,
96,0,0,1,Step,6,1,1,15,5,20,,no fault,45   6  47  38  31,45  47   6  38  31,5.8243,0.31641,0.041345,,
97,0,0,1,Step,7,1,1,15,5,20,,no fault,7  45  47  38  31,45  47   7  38  31,0.83428,0.041135,0.005275,,
98,0,0,1,Step,7,1,1,15,5,20,,no fault,7  45  47  38  31,45  47   7  38  52,1.5555,0.080146,0.0090126,,
99,0,0,1,Step,7,1,1,15,5,20,,no fault,7  45  47  38  31,45  47   7  38  31,2.9729,0.15602,0.018847,,
100,0,0,1,Step,7,1,1,15,5,20,,no fault,45   7  47  38  31,45  47  38   7  31,5.7263,0.31641,0.041345,,
101,0,0,1,Step,10,1,1,15,5,20,,no fault,10  45  47  38  31,45  47  10  38  31,0.84061,0.040686,0.005275,,
102,0,0,1,Step,10,1,1,15,5,20,,no fault,10  45  47  38  31,45  47  10  38  52,1.5686,0.079645,0.0090126,,
103,0,0,1,Step,10,1,1,15,5,20,,no fault,10  45  47  38  31,45  47  10  38  31,3.0117,0.15637,0.018847,,
104,0,0,1,Step,10,1,1,15,5,20,,no fault,45  10  47  38  31,45  47  10  38  31,5.8719,0.31641,0.041345,,
105,0,0,1,Step,11,1,1,15,5,20,,no fault,11  45  47  38  31,45  47  11  38  31,0.84165,0.040909,0.005275,,
106,0,0,1,Step,11,1,1,15,5,20,,no fault,11  45  47  38  31,45  47  11  38  52,1.5706,0.080017,0.0090126,,
107,0,0,1,Step,11,1,1,15,5,20,,no fault,11  45  47  38  31,45  47  11  38  31,3.0134,0.15684,0.018847,,
108,0,0,1,Step,11,1,1,15,5,20,,no fault,45  11  47  38  31,45  47  11  38  31,5.8628,0.31641,0.041345,,
109,0,0,1,Step,14,1,1,15,5,20,,no fault,14  45  47  38  31,45  47  14  38  31,0.84781,0.041125,0.005275,,
110,0,0,1,Step,14,1,1,15,5,20,,no fault,14  45  47  38  31,45  47  14  38  52,1.5822,0.080424,0.0090126,,
111,0,0,1,Step,14,1,1,15,5,20,,no fault,14  45  47  38  31,45  47  14  38  31,3.035,0.15755,0.018847,,
112,0,0,1,Step,14,1,1,15,5,20,,no fault,45  14  47  38  31,45  47  14  38  31,5.9005,0.31641,0.041344,,
113,0,0,1,Step,17,1,1,15,5,20,,no fault,17  45  47  38  31,45  47  17  38  31,0.87015,0.041946,0.005275,,
114,0,0,1,Step,17,1,1,15,5,20,,no fault,17  45  47  38  31,45  47  17  38  52,1.625,0.082096,0.0090126,,
115,0,0,1,Step,17,1,1,15,5,20,,no fault,17  45  47  38  31,45  47  17  38  31,3.1194,0.16104,0.018847,,
116,0,0,1,Step,17,1,1,15,5,20,,no fault,45  17  47  38  31,45  47  17  38  31,6.0714,0.3164,0.041344,,
117,0,0,1,Step,19,1,1,15,5,20,,no fault,19  45  47  38  31,45  47  19  38  31,0.86166,0.040405,0.005275,,
118,0,0,1,Step,19,1,1,15,5,20,,no fault,19  45  47  38  31,45  47  19  38  52,1.6067,0.079328,0.0090125,,
119,0,0,1,Step,19,1,1,15,5,20,,no fault,19  45  47  38  31,45  47  19  38  31,3.0939,0.15714,0.018847,,
120,0,0,1,Step,19,1,1,15,5,20,,no fault,45  19  47  38  31,45  47  19  38  31,6.0907,0.3164,0.041343,,
121,0,0,1,Step,22,1,1,15,5,20,,no fault,22  45  47  38  31,45  47  22  38  31,0.86316,0.041012,0.005275,,
122,0,0,1,Step,22,1,1,15,5,20,,no fault,22  45  47  38  31,45  47  22  38  52,1.6112,0.080532,0.0090125,,
123,0,0,1,Step,22,1,1,15,5,20,,no fault,22  45  47  38  31,45  47  22  38  31,3.105,0.15944,0.018847,,
124,0,0,1,Step,22,1,1,15,5,20,,no fault,45  22  47  38  31,45  47  22  38  31,6.1166,0.3164,0.041343,,
125,0,0,1,Step,23,1,1,15,5,20,,no fault,23  45  47  38  31,45  47  23  38  31,0.86058,0.04096,0.005275,,
126,0,0,1,Step,23,1,1,15,5,20,,no fault,23  45  47  38  31,45  47  23  38  52,1.6071,0.080444,0.0090125,,
127,0,0,1,Step,23,1,1,15,5,20,,no fault,23  45  47  38  31,45  47  23  38  31,3.0972,0.15925,0.018847,,
128,0,0,1,Step,23,1,1,15,5,20,,no fault,45  23  47  38  31,45  47  23  38  31,6.0974,0.3164,0.041343,,
129,0,0,1,Step,25,1,1,15,5,20,,no fault,45  25  47  38  31,45  47  25  38  31,0.80263,0.040327,0.005275,,
130,0,0,1,Step,25,1,1,15,5,20,,no fault,25  45  47  38  31,45  47  25  38  52,1.4955,0.074884,0.0090126,,
131,0,0,1,Step,25,1,1,15,5,20,,no fault,25  45  47  38  31,45  47  25  38  31,2.8704,0.14752,0.018847,,
132,0,0,1,Step,25,1,1,15,5,20,,no fault,45  47  25  38  31,45  47  38  25  31,5.6009,0.31641,0.041345,,
133,0,0,1,Step,29,1,1,15,5,20,,no fault,29  45  47  38  31,45  47  29  38  31,0.86578,0.041398,0.005275,,
134,0,0,1,Step,29,1,1,15,5,20,,no fault,29  45  47  38  31,45  47  29  38  52,1.6221,0.081437,0.0090126,,
135,0,0,1,Step,29,1,1,15,5,20,,no fault,29  45  47  38  31,45  47  29  38  31,3.1316,0.16123,0.018847,,
